qi	z3,z4,z6,z7	rank	graph_sigma	n_classes	min_n_good	argmin_z2,z5,z8	n_fallback	n_unsaturated
6489	1,9,24,8	2	0	19683	247	6,5,11	0	0
6490	1,10,24,8	2	0	19683	252	2,19,18	0	0
6491	1,11,24,8	1	0	19683	256	1,10,0	0	0
6492	1,12,24,8	2	0	19683	258	8,9,22	0	0
6493	1,13,24,8	2	0	19683	258	10,4,2	0	0
6494	1,14,24,8	2	0	19683	259	23,0,11	0	0
6495	1,15,24,8	2	0	19683	266	11,9,25	0	0
6496	1,16,24,8	2	0	19683	255	3,3,12	0	0
6497	1,17,24,8	2	0	19683	252	4,18,22	0	0
6498	1,18,24,8	2	0	19683	253	8,20,2	0	0
6499	1,19,24,8	2	0	19683	258	25,22,6	0	0
6500	1,20,24,8	2	0	19683	255	3,0,19	0	0
6501	1,21,24,8	2	0	19683	253	7,15,8	0	0
6502	1,22,24,8	2	0	19683	254	17,11,4	0	0
6503	1,23,24,8	2	0	19683	258	23,19,15	0	0
6504	1,24,24,8	2	0	19683	259	3,14,26	0	0
6505	1,25,24,8	2	0	19683	253	11,0,9	0	0
6506	1,26,24,8	2	0	19683	259	9,8,0	0	0
6507	1,0,25,8	2	0	19683	255	22,20,16	0	0
6508	1,1,25,8	2	0	19683	256	12,12,2	0	0
6509	1,2,25,8	2	0	19683	253	15,26,7	0	0
6510	1,3,25,8	2	0	19683	253	19,23,1	0	0
6511	1,4,25,8	2	0	19683	258	26,26,6	0	0
6512	1,5,25,8	2	0	19683	247	3,4,20	0	0
6513	1,6,25,8	2	0	19683	253	16,15,24	0	0
6514	1,7,25,8	1	0	19683	256	3,5,1	0	0
6515	1,8,25,8	2	0	19683	256	15,2,13	0	0
6516	1,9,25,8	2	0	19683	259	1,20,18	0	0
6517	1,10,25,8	2	0	19683	253	19,26,1	0	0
6518	1,11,25,8	2	0	19683	255	9,10,13	0	0
6519	1,12,25,8	2	0	19683	253	15,16,17	0	0
6520	1,13,25,8	2	0	19683	252	1,20,3	0	0
6521	1,14,25,8	2	0	19683	253	16,22,0	0	0
6522	1,15,25,8	2	0	19683	252	6,15,21	0	0
6523	1,16,25,8	2	0	19683	253	25,21,6	0	0
6524	1,17,25,8	2	0	19683	269	10,22,10	0	0
6525	1,18,25,8	2	0	19683	259	12,10,9	0	0
6526	1,19,25,8	2	0	19683	259	7,19,5	0	0
6527	1,20,25,8	2	0	19683	252	26,12,10	0	0
6528	1,21,25,8	2	0	19683	258	12,21,2	0	0
6529	1,22,25,8	2	0	19683	259	17,4,12	0	0
6530	1,23,25,8	2	0	19683	254	2,8,13	0	0
6531	1,24,25,8	2	0	19683	253	11,15,0	0	0
6532	1,25,25,8	2	0	19683	247	8,24,23	0	0
6533	1,26,25,8	2	0	19683	253	8,12,26	0	0
6534	1,0,26,8	2	0	19683	252	15,9,26	0	0
6535	1,1,26,8	2	0	19683	258	2,9,7	0	0
6536	1,2,26,8	2	0	19683	259	22,18,0	0	0
6537	1,3,26,8	2	0	19683	255	9,0,2	0	0
6538	1,4,26,8	2	0	19683	255	12,22,17	0	0
6539	1,5,26,8	2	0	19683	255	9,15,16	0	0
6540	1,6,26,8	2	0	19683	252	23,26,6	0	0
6541	1,7,26,8	2	0	19683	258	10,26,20	0	0
6542	1,8,26,8	2	0	19683	258	17,9,23	0	0
6543	1,9,26,8	2	0	19683	254	6,13,15	0	0
6544	1,10,26,8	2	0	19683	252	18,15,23	0	0
6545	1,11,26,8	2	0	19683	247	8,6,9	0	0
6546	1,12,26,8	2	0	19683	258	14,16,12	0	0
6547	1,13,26,8	2	0	19683	253	15,0,3	0	0
6548	1,14,26,8	2	0	19683	255	26,13,17	0	0
6549	1,15,26,8	2	0	19683	255	7,8,1	0	0
6550	1,16,26,8	2	0	19683	266	4,15,0	0	0
6551	1,17,26,8	2	0	19683	258	12,5,26	0	0
