cand_idx	dir_d	line_q	x1	x2	x3	lambda_label	y1	y2	collision_type	n_colliding_roots
817	12	9	5	20	17	1	19	21	offline_retained	1
818	12	9	17	20	5	1	9	15	offline_retained	1
822	12	9	5	17	20	l2	14	25	offline_retained	1
825	12	9	5	17	20	l3	10	25	offline_retained	1
827	12	9	17	20	5	l3	5	6	third_point_x3	1
828	12	2	6	9	21	1	19	23	offline_retained	1
829	12	2	6	21	9	1	16	22	offline_retained	1
831	12	2	6	9	21	l1	4	21	third_point_x3	1
833	12	2	9	21	6	l1	3	26	offline_retained	1
839	12	2	9	21	6	l3	13	26	offline_retained	1
840	12	18	7	10	22	1	11	15	offline_retained	1
842	12	18	10	22	7	1	18	21	offline_retained	1
847	12	18	7	22	10	l2	14	25	offline_retained	1
850	12	18	7	22	10	l3	14	20	offline_retained	1
851	12	18	10	22	7	l3	3	7	third_point_x3	1
852	12	10	8	11	23	1	7	17	offline_retained	1
853	12	10	8	23	11	1	5	9	offline_retained	1
857	12	10	11	23	8	l1	1	2	offline_retained	1
858	12	10	8	11	23	l2	20	23	third_point_x3	1
860	12	10	11	23	8	l2	2	4	offline_retained	1
876	13	17	1	14	24	l2	6	12	offline_retained	1
877	13	17	1	24	14	l2	5	14	third_point_x3	1
880	13	17	1	24	14	1	19	21	offline_retained	1
881	13	17	14	24	1	1	4	15	offline_retained	1
882	13	17	1	14	24	l1	3	6	offline_retained	1
888	13	22	2	12	25	l2	7	25	third_point_x3	1
889	13	22	2	25	12	l2	3	24	offline_retained	1
891	13	22	2	12	25	1	11	15	offline_retained	1
893	13	22	12	25	2	1	8	21	offline_retained	1
895	13	22	2	25	12	l1	3	6	offline_retained	1
902	13	18	16	20	3	l2	13	17	offline_retained	1
907	13	18	3	20	16	l1	13	21	offline_retained	1
909	13	18	3	16	20	l3	13	14	offline_retained	1
916	13	8	4	18	17	1	2	14	offline_retained	1
917	13	8	17	18	4	1	11	25	offline_retained	1
918	13	8	4	17	18	l1	9	23	offline_retained	1
919	13	8	4	18	17	l1	12	17	third_point_x3	1
921	13	8	4	17	18	l3	16	23	offline_retained	1
926	13	13	15	19	5	l2	10	20	offline_retained	1
927	13	13	5	15	19	1	2	17	offline_retained	1
928	13	13	5	19	15	1	4	22	offline_retained	1
934	13	13	5	19	15	l3	15	18	third_point_x3	1
935	13	13	15	19	5	l3	7	20	offline_retained	1
938	13	9	10	23	6	l2	22	26	offline_retained	1
942	13	9	6	10	23	l1	15	26	offline_retained	1
946	13	9	6	23	10	l3	25	26	offline_retained	1
950	13	26	11	21	7	l2	10	20	offline_retained	1
951	13	26	7	11	21	1	8	17	offline_retained	1
952	13	26	7	21	11	1	1	22	offline_retained	1
957	13	26	7	11	21	l3	9	21	third_point_x3	1
959	13	26	11	21	7	l3	5	10	offline_retained	1
963	13	4	8	9	22	1	1	25	offline_retained	1
965	13	4	9	22	8	1	14	19	offline_retained	1
966	13	4	8	9	22	l1	22	24	third_point_x3	1
967	13	4	8	22	9	l1	16	18	offline_retained	1
970	13	4	8	22	9	l3	16	23	offline_retained	1
985	14	5	1	26	12	l1	20	24	offline_retained	1
986	14	5	12	26	1	l1	1	23	third_point_x3	1
988	14	5	1	26	12	l3	10	20	offline_retained	1
990	14	5	1	12	26	1	6	7	offline_retained	1
992	14	5	12	26	1	1	5	9	offline_retained	1
996	14	7	2	13	24	l1	10	12	offline_retained	1
998	14	7	13	24	2	l1	2	16	third_point_x3	1
999	14	7	2	13	24	l3	10	20	offline_retained	1
1003	14	7	2	24	13	1	3	5	offline_retained	1
1004	14	7	13	24	2	1	7	18	offline_retained	1
1011	14	17	3	17	19	l3	12	19	third_point_x3	1
1012	14	17	3	19	17	l3	21	22	offline_retained	1
1014	14	17	3	17	19	1	2	26	offline_retained	1
1016	14	17	17	19	3	1	1	9	offline_retained	1
1018	14	17	3	19	17	l2	15	21	offline_retained	1
1020	14	10	4	15	20	l1	19	25	offline_retained	1
1024	14	10	4	20	15	l3	7	25	offline_retained	1
1031	14	10	15	20	4	l2	2	25	offline_retained	1
1033	14	12	5	18	16	l1	4	8	offline_retained	1
1038	14	12	5	16	18	1	19	26	offline_retained	1
1040	14	12	16	18	5	1	3	11	offline_retained	1
1042	14	12	5	18	16	l2	4	23	offline_retained	1
1043	14	12	16	18	5	l2	5	17	third_point_x3	1
1047	14	22	6	11	22	l3	15	17	offline_retained	1
1048	14	22	6	22	11	l3	11	24	third_point_x3	1
1051	14	22	6	22	11	1	1	13	offline_retained	1
1052	14	22	11	22	6	1	2	18	offline_retained	1
1053	14	22	6	11	22	l2	15	21	offline_retained	1
1056	14	24	7	9	23	l1	4	8	offline_retained	1
1063	14	24	7	23	9	1	11	13	offline_retained	1
1064	14	24	9	23	7	1	6	19	offline_retained	1
1065	14	24	7	9	23	l2	8	16	offline_retained	1
1067	14	24	9	23	7	l2	7	22	third_point_x3	1
1069	14	20	8	21	10	l1	11	14	offline_retained	1
