stratum	metric	value	count
rank1-graph	n_good_lambda1	56	78
rank1-graph	n_good_lambda1	57	13
rank1-graph	n_good_lambda1	58	156
rank1-graph	n_good_lambda1	59	156
rank1-graph	n_good_lambda1	60	936
rank1-graph	n_good_lambda1	61	780
rank1-graph	n_good_lambda1	62	2730
rank1-graph	n_good_lambda1	63	1092
rank1-graph	n_good_lambda1	64	1404
rank1-graph	n_good_lambda1	65	3276
rank1-graph	n_good_lambda1	66	2704
rank1-graph	n_good_lambda1	67	2496
rank1-graph	n_good_lambda1	68	3900
rank1-graph	n_good_lambda1	69	6864
rank1-graph	n_good_lambda1	70	3588
rank1-graph	n_good_lambda1	71	6396
rank1-graph	n_good_lambda1	72	8398
rank1-graph	n_good_lambda1	73	12402
rank1-graph	n_good_lambda1	74	11778
rank1-graph	n_good_lambda1	75	12584
rank1-graph	n_good_lambda1	76	15912
rank1-graph	n_good_lambda1	77	21138
rank1-graph	n_good_lambda1	78	19396
rank1-graph	n_good_lambda1	79	20748
rank1-graph	n_good_lambda1	80	21840
rank1-graph	n_good_lambda1	81	21398
rank1-graph	n_good_lambda1	82	24102
rank1-graph	n_good_lambda1	83	22698
rank1-graph	n_good_lambda1	84	26988
rank1-graph	n_good_lambda1	85	24570
rank1-graph	n_good_lambda1	86	25350
rank1-graph	n_good_lambda1	87	22048
rank1-graph	n_good_lambda1	88	21528
rank1-graph	n_good_lambda1	89	22308
rank1-graph	n_good_lambda1	90	20527
rank1-graph	n_good_lambda1	91	18954
rank1-graph	n_good_lambda1	92	18642
rank1-graph	n_good_lambda1	93	14950
rank1-graph	n_good_lambda1	94	15366
rank1-graph	n_good_lambda1	95	11232
rank1-graph	n_good_lambda1	96	9984
rank1-graph	n_good_lambda1	97	9672
rank1-graph	n_good_lambda1	98	7644
rank1-graph	n_good_lambda1	99	7020
rank1-graph	n_good_lambda1	100	4524
rank1-graph	n_good_lambda1	101	4914
rank1-graph	n_good_lambda1	102	2158
rank1-graph	n_good_lambda1	103	3666
rank1-graph	n_good_lambda1	104	2730
rank1-graph	n_good_lambda1	105	1898
rank1-graph	n_good_lambda1	106	1170
rank1-graph	n_good_lambda1	107	1170
rank1-graph	n_good_lambda1	108	494
rank1-graph	n_good_lambda1	109	234
rank1-graph	n_good_lambda1	110	468
rank1-graph	n_good_lambda1	111	78
rank1-graph	n_good_lambda1	112	312
rank1-graph	n_good_lambda1	114	338
rank1-graph	n_good_lambda1	116	78
rank1-graph	n_good_lambda1	118	78
rank1-graph	n_good_lambda1	120	104
rank1-graph	n_good_lambda1	121	78
rank1-graph	n_good_lambda1	276	117
rank1-graph	n_good_lambda1	325	378
rank1-graph	n_good_lambda1	351	234
rank1-graph	n_good_conjugate	78	1
rank1-graph	n_good_conjugate	191	156
rank1-graph	n_good_conjugate	192	260
rank1-graph	n_good_conjugate	196	78
rank1-graph	n_good_conjugate	197	78
rank1-graph	n_good_conjugate	198	182
rank1-graph	n_good_conjugate	199	78
rank1-graph	n_good_conjugate	201	156
rank1-graph	n_good_conjugate	202	78
rank1-graph	n_good_conjugate	203	78
rank1-graph	n_good_conjugate	204	78
rank1-graph	n_good_conjugate	205	2418
