# C1053 repair-DAG BFS map merge: interleaved A/B raw samples and summary
# variant	application:rdag:rust:21:3
# host_cpu_pinned	3
# rustc	rustc 1.93.1 (01f6ddf75 2026-02-11)
# control_binary	bench_kernels-3c4dd0293	sha256=ce3e0b06018d5de706f11fa3b0d942632a9e15980e09db92a507475060ff38e1
# candidate_binary	bench_kernels-c1053-cap64	sha256=f6d1bcac3994dabad84a829ebe9592d4b9f45fc5187997832cc2ccefb0483f10
# rejected_cap4096_binary	bench_kernels-c1053-candidate	sha256=530c3921b381ff00129915f0ad531a8a3eb98425ad8341d5c5d245325dbab43b
# profiles	cold=1 repetition, warm_batch=8 repetitions (BENCHMARKS.md protocol), kernel=1024 repetitions (startup-amortized, added here)
# sampler	scripts recorded verbatim below the tables

[accepted candidate: REPAIR_DAG_RESERVATION_CAP = 64] raw samples
round	profile	reps	arm	elapsed_ns	work	checksum	peak_rss_kib	instructions	cycles	branches	branch_misses
parity	cold	old	['4']	['3']
parity	cold	new	['4']	['3']
parity	warm_batch	old	['32']	['24']
parity	warm_batch	new	['32']	['24']
parity	kernel	old	['4096']	['3072']
parity	kernel	new	['4096']	['3072']

summary	profile	metric	old_median	new_median	ratio_new_over_old	delta_pct
summary	cold	elapsed_ns	14396.0	14738.0	1.0238	+2.38
summary	cold	peak_rss_kib	2080.0	2116.0	1.0173	+1.73
summary	cold	instructions	458031.0	457084.0	0.9979	-0.21
summary	cold	cycles	616286.0	678348.0	1.1007	+10.07
summary	cold	branches	89108.0	88963.0	0.9984	-0.16
summary	cold	branch_misses	5234.0	5233.0	0.9998	-0.02
per_solve	cold	elapsed_ns	14396.0	14738.0	1.0238	+2.38
per_solve	cold	instructions	458031.0	457084.0	0.9979	-0.21
per_solve	cold	cycles	616286.0	678348.0	1.1007	+10.07
summary	warm_batch	elapsed_ns	34153.0	37249.0	1.0907	+9.07
summary	warm_batch	peak_rss_kib	2052.0	2088.0	1.0175	+1.75
summary	warm_batch	instructions	860845.0	850614.0	0.9881	-1.19
summary	warm_batch	cycles	716923.0	773638.0	1.0791	+7.91
summary	warm_batch	branches	176810.0	175800.0	0.9943	-0.57
summary	warm_batch	branch_misses	6050.0	6122.0	1.0119	+1.19
per_solve	warm_batch	elapsed_ns	4269.1	4656.1	1.0907	+9.07
per_solve	warm_batch	instructions	107605.6	106326.8	0.9881	-1.19
per_solve	warm_batch	cycles	89615.4	96704.8	1.0791	+7.91
summary	kernel	elapsed_ns	5339020.0	5386539.0	1.0089	+0.89
summary	kernel	peak_rss_kib	2092.0	2116.0	1.0115	+1.15
summary	kernel	instructions	59890227.0	58326863.0	0.9739	-2.61
summary	kernel	cycles	11873610.0	12110919.0	1.0200	+2.00
summary	kernel	branches	13056584.0	12848373.0	0.9841	-1.59
summary	kernel	branch_misses	23045.0	23182.0	1.0059	+0.59
per_solve	kernel	elapsed_ns	5213.9	5260.3	1.0089	+0.89
per_solve	kernel	instructions	58486.5	56959.8	0.9739	-2.61
per_solve	kernel	cycles	11595.3	11827.1	1.0200	+2.00

[rejected variant: cap 4096] raw samples
round	profile	reps	arm	elapsed_ns	work	checksum	peak_rss_kib	instructions	cycles	branches	branch_misses
1	cold	1	old	870801	4	3	2128	458175	725923	89207	5204
1	cold	1	new	20568	4	3	2048	457039	531894	88886	5261
1	warm_batch	8	old	33552	32	24	2012	861020	620888	176893	6055
1	warm_batch	8	new	46647	32	24	2116	849420	609558	175244	5903
1	kernel	1024	old	5297662	4096	3072	2040	59890057	11727955	13056554	22586
1	kernel	1024	new	2295092	4096	3072	2104	57960900	11797747	12725887	18709
2	cold	1	new	23524	4	3	2072	456809	535553	88836	5243
2	cold	1	old	13435	4	3	2012	457575	517677	88980	5241
2	warm_batch	8	new	44723	32	24	2172	849552	629500	175288	5986
