[Z3xZ3xZ3xZ5] |G|=135 |Aut|=44928  order=true j=22 par-ply=10 cap=700000000
  [  15s] nodes=18910 memo=15942 rss=64MB
  [6120s] nodes=7615185 memo=6945855 rss=371MB
  [6135s] nodes=7635411 memo=6963908 rss=371MB
  [6150s] nodes=7655048 memo=6981141 rss=371MB
  [6165s] nodes=7674875 memo=6998854 rss=371MB
  [6180s] nodes=7695114 memo=7017024 rss=371MB
  [6195s] nodes=7714945 memo=7034935 rss=371MB
  [6210s] nodes=7735014 memo=7052892 rss=371MB
  [6225s] nodes=7754789 memo=7070578 rss=371MB
  [6240s] nodes=7775255 memo=7089043 rss=371MB
  [6255s] nodes=7795550 memo=7107200 rss=371MB
  [6270s] nodes=7815389 memo=7124992 rss=371MB
  [6285s] nodes=7835219 memo=7142661 rss=371MB
  [6300s] nodes=7855030 memo=7160427 rss=371MB
  [6315s] nodes=7875018 memo=7178350 rss=371MB
  [6330s] nodes=7895474 memo=7196715 rss=371MB
  [6345s] nodes=7915353 memo=7214592 rss=371MB
  [6360s] nodes=7935005 memo=7232142 rss=371MB
  [6375s] nodes=7954598 memo=7249663 rss=371MB
  [6390s] nodes=7973952 memo=7266990 rss=371MB
  [6405s] nodes=7993185 memo=7284199 rss=371MB
  [6420s] nodes=8013538 memo=7302431 rss=371MB
  [6435s] nodes=8033410 memo=7320219 rss=371MB
  [6450s] nodes=8053613 memo=7338295 rss=371MB
  [6465s] nodes=8073832 memo=7356307 rss=371MB
  [6480s] nodes=8093567 memo=7374045 rss=371MB
  [6495s] nodes=8113436 memo=7391736 rss=371MB
  [6510s] nodes=8133106 memo=7409416 rss=371MB
  [6525s] nodes=8152929 memo=7427143 rss=371MB
  [6540s] nodes=8172471 memo=7444797 rss=371MB
  [6555s] nodes=8192038 memo=7462506 rss=371MB
  [6570s] nodes=8211817 memo=7480237 rss=371MB
  [6585s] nodes=8231729 memo=7498094 rss=371MB
  [6600s] nodes=8250792 memo=7515283 rss=371MB
  [6615s] nodes=8270119 memo=7532650 rss=371MB
  [6630s] nodes=8289407 memo=7550040 rss=371MB
  [6645s] nodes=8308326 memo=7566855 rss=371MB
  [6660s] nodes=8327309 memo=7583188 rss=371MB
  [6675s] nodes=8346429 memo=7599705 rss=371MB
  [6690s] nodes=8365953 memo=7616599 rss=371MB
  [6705s] nodes=8385273 memo=7633377 rss=371MB
